Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,male,28.0,0,0,6.4375,C,No
3,female,1.0,1,1,16.7,S,Yes
1,male,36.0,0,0,75.2417,C,No
2,female,29.0,1,0,26.0,S,Yes
2,female,12.0,0,0,15.75,S,Yes
3,male,28.0,1,0,7.75,Q,No
1,female,35.0,1,0,57.75,C,Yes
3,male,28.0,0,0,7.25,S,No
3,male,28.0,0,0,7.75,Q,No
3,female,17.0,0,1,16.1,S,Yes
3,male,22.0,0,0,7.7958,S,No
3,female,28.0,2,0,23.25,Q,Yes
2,male,42.0,0,0,13.0,S,No
3,male,24.0,0,0,8.05,S,No
3,male,32.0,0,0,8.05,S,Yes
1,male,53.0,0,0,28.5,C,No
3,female,28.0,0,4,25.4667,S,No
3,male,28.0,1,0,6.4375,C,No
3,male,43.0,0,0,7.895800000000001,S,No
3,male,24.0,0,0,7.854199999999999,S,No
3,male,26.5,0,0,7.225000000000005,C,No
2,male,26.0,0,0,13.0,S,No
3,female,23.0,0,0,8.05,S,No
3,male,40.0,1,6,46.9,S,No
3,female,10.0,5,2,46.9,S,No
1,female,33.0,0,0,151.55,S,Yes
1,male,61.0,1,3,262.375,C,No
2,male,28.0,0,0,26.0,S,No
1,male,42.0,0,0,26.55,S,Yes
3,male,31.0,3,0,18.0,S,No
1,male,28.0,0,0,51.8625,S,No
3,male,22.0,0,0,8.05,S,No
1,male,28.0,0,0,26.55,S,No
2,male,30.0,1,1,26.0,S,No
1,female,23.0,0,1,83.1583,C,Yes
3,male,28.0,0,0,7.895800000000001,C,No
3,male,60.5,0,0,,S,No
3,female,36.0,0,2,12.1833,S,Yes
3,male,13.0,4,2,31.3875,S,No
3,male,24.0,0,0,7.550000000000001,S,No
1,female,29.0,0,0,221.7792,S,Yes
3,female,23.0,0,0,7.854199999999999,S,No
1,male,42.0,0,0,26.55,S,Yes
3,female,26.0,0,2,13.774999999999999,S,Yes
3,female,28.0,0,0,7.7333,Q,Yes
3,male,7.0,1,1,15.2458,C,Yes
2,female,26.0,0,0,13.5,S,Yes
3,male,28.0,0,0,7.0,S,No
2,male,41.0,0,0,13.0,S,No
3,female,26.0,1,1,22.025,S,No
1,male,48.0,0,0,50.4958,C,No
3,male,18.0,2,2,34.375,S,No
1,female,28.0,0,0,27.7208,C,Yes
3,female,22.0,0,0,8.962499999999999,S,No
3,male,28.0,0,0,7.550000000000001,S,No
3,male,27.0,0,0,7.225000000000005,C,No
3,male,23.0,1,0,13.899999999999999,S,No
3,male,28.0,0,0,7.229199999999999,C,No
3,male,40.0,1,5,31.3875,S,No
2,female,15.0,0,2,39.0,S,Yes
2,female,20.0,0,0,36.75,S,Yes
1,male,54.0,1,0,55.4417,C,Yes
2,female,36.0,0,3,39.0,S,Yes
1,female,64.0,0,2,83.1583,C,Yes
2,male,30.0,0,0,13.0,S,No
1,male,37.0,1,1,83.1583,C,No
1,female,18.0,1,0,53.1,S,Yes
3,male,28.0,0,0,7.75,Q,No
1,female,27.0,1,1,247.52080000000007,C,Yes
2,male,40.0,0,0,16.0,S,No
2,female,21.0,0,1,21.0,S,Yes
3,male,17.0,2,0,8.05,S,No
3,female,28.0,8,2,69.55,S,No
2,male,40.0,0,0,13.0,S,No
2,male,34.0,1,0,26.0,S,No
1,male,28.0,0,0,26.0,S,No
3,male,11.5,1,1,14.5,S,No
2,male,61.0,0,0,12.350000000000001,Q,No
2,male,8.0,0,2,32.5,S,Yes
3,male,33.0,0,0,7.854199999999999,S,No
1,male,6.0,0,2,134.5,C,Yes
3,female,18.0,0,0,7.774999999999999,S,No
2,male,23.0,0,0,10.5,S,No
3,female,28.0,0,0,8.1125,S,No
3,female,28.0,0,0,15.5,Q,Yes
3,male,0.3299999999999983,0,2,14.399999999999999,S,Yes
1,male,47.0,1,0,227.52499999999998,C,No
2,female,8.0,1,1,26.0,S,Yes
2,male,25.0,0,0,10.5,S,No
1,male,28.0,0,0,25.7417,C,No
3,female,35.0,0,0,7.75,Q,Yes
2,male,24.0,0,0,10.5,S,No
1,female,33.0,0,0,27.7208,C,Yes
3,male,25.0,0,0,7.895800000000001,S,No
3,male,32.0,0,0,22.525,S,No
3,male,28.0,0,0,7.050000000000001,S,No
2,male,17.0,0,0,73.5,S,No
2,female,60.0,1,0,26.0,S,Yes
3,female,38.0,4,2,7.774999999999999,S,No
1,male,42.0,0,0,42.5,S,No
3,female,28.0,0,0,7.879200000000001,Q,Yes
1,male,57.0,1,1,164.86669999999998,S,No
1,female,50.0,1,1,211.5,C,Yes
3,male,28.0,0,0,8.05,S,No
2,female,30.0,1,0,13.8583,C,Yes
3,male,21.0,0,0,8.05,S,No
2,female,22.0,0,0,10.5,S,Yes
3,male,21.0,0,0,7.7958,S,Yes
1,female,53.0,0,0,27.4458,C,Yes
3,female,28.0,0,2,15.2458,C,No
3,male,23.0,0,0,7.7958,S,No
3,female,28.0,0,0,7.75,Q,Yes
3,male,40.5,0,0,15.100000000000001,S,No
2,male,36.0,0,0,13.0,S,No
2,male,14.0,0,0,65.0,S,No
1,female,21.0,0,0,26.55,S,Yes
3,male,21.0,1,0,6.495800000000003,S,No
3,male,28.0,0,0,7.879200000000001,Q,No
1,male,39.0,1,0,71.2833,C,Yes
3,male,20.0,0,0,7.854199999999999,S,No
1,male,64.0,1,0,75.25,C,Yes
3,male,20.0,0,0,7.225000000000005,C,Yes
2,female,18.0,1,1,13.0,S,Yes
1,female,48.0,1,0,106.425,C,Yes
1,female,55.0,0,0,27.7208,C,Yes
2,female,45.0,0,2,30.0,S,Yes
1,male,45.0,1,1,134.5,C,No
3,male,28.0,0,0,7.887499999999999,S,No
3,male,28.0,1,2,23.45,S,No
1,male,41.0,1,0,51.8625,S,No
2,female,22.0,0,0,21.0,S,Yes
2,male,42.0,1,1,32.5,S,No
2,female,29.0,1,0,26.0,S,Yes
3,female,28.0,1,0,14.4542,C,No
2,female,0.9200000000000053,1,2,27.75,S,Yes
3,male,20.0,0,0,7.925000000000001,S,No
1,male,27.0,1,0,136.7792,C,No
3,male,24.0,0,0,9.325,S,No
3,male,32.5,0,0,9.5,S,No
3,male,28.0,0,0,7.550000000000001,S,No
3,male,28.0,0,0,7.75,Q,No
3,male,28.0,0,0,8.05,S,No
2,female,19.0,0,0,13.0,S,Yes
3,male,21.0,0,0,7.774999999999999,S,No
3,male,36.5,1,0,17.4,S,No
3,male,21.0,0,0,7.854199999999999,S,No
2,female,29.0,0,2,23.0,S,Yes
3,female,1.0,1,1,12.1833,S,Yes
2,male,30.0,0,0,12.7375,C,No
3,male,28.0,0,0,7.895800000000001,S,No
1,male,28.0,0,0,0.0,S,No
3,male,28.0,0,0,7.550000000000001,S,No
3,female,28.0,0,0,8.05,S,No
3,male,17.0,0,0,8.662500000000001,S,No
1,male,46.0,0,0,75.2417,C,No
3,male,28.0,0,0,7.75,Q,No
1,female,26.0,1,0,136.7792,C,Yes
3,female,28.0,1,0,15.5,Q,Yes
3,male,28.0,0,0,7.225000000000005,C,No
2,female,20.0,1,0,26.0,S,Yes
2,male,28.0,0,0,10.5,S,No
2,male,40.0,1,0,26.0,S,No
2,male,30.0,1,0,21.0,S,No
2,male,22.0,0,0,10.5,S,No
3,female,23.0,0,0,8.662500000000001,S,No
3,male,0.7499999999999964,1,1,13.774999999999999,S,Yes
3,female,28.0,0,0,7.75,Q,Yes
3,female,9.0,1,1,15.2458,C,Yes
3,female,2.0,1,1,20.2125,S,Yes
3,male,36.0,0,0,7.25,S,No
3,male,28.0,0,0,7.25,S,No
1,male,24.0,1,0,82.26670000000001,S,No
3,male,28.0,0,0,7.229199999999999,C,No
3,male,28.0,0,0,8.05,S,No
1,male,28.0,0,0,39.6,S,No
3,female,30.0,0,0,6.949999999999996,Q,No
3,male,28.0,0,0,7.229199999999999,C,No
1,male,53.0,1,1,81.8583,S,No
3,male,36.0,0,0,9.5,S,No
3,male,26.0,0,0,7.895800000000001,S,No
2,female,1.0,1,2,41.5792,C,Yes
3,male,28.0,2,0,21.6792,C,No
1,male,30.0,0,0,45.5,S,No
3,male,29.0,0,0,7.854199999999999,S,No
3,male,32.0,0,0,7.774999999999999,S,No
2,male,28.0,0,0,15.0458,C,No
2,male,43.0,0,1,21.0,S,No
3,male,24.0,0,0,8.662500000000001,S,No
3,female,28.0,0,0,7.75,Q,Yes
1,female,64.0,1,1,26.55,S,Yes
1,male,30.0,1,2,151.55,S,Yes
3,male,0.8299999999999983,0,1,9.350000000000001,S,Yes
1,male,55.0,1,1,93.5,S,No
3,female,45.0,1,0,14.1083,S,No
3,male,18.0,0,0,8.662500000000001,S,No
3,male,22.0,0,0,7.225000000000005,C,Yes
3,male,28.0,0,0,7.574999999999999,S,No
3,female,37.0,0,0,7.75,Q,Yes
1,female,55.0,0,0,135.63330000000002,C,Yes
3,female,17.0,0,0,7.7333,Q,Yes
1,male,57.0,1,0,146.5208,C,No
2,male,19.0,0,0,10.5,S,No
3,male,27.0,0,0,7.854199999999999,S,Yes
2,male,22.0,2,0,31.5,S,No
3,male,26.0,0,0,7.774999999999999,S,No
3,male,25.0,0,0,7.229199999999999,C,No
2,male,26.0,0,0,13.0,S,No
1,male,33.0,0,0,26.55,S,Yes
1,female,39.0,0,0,211.33749999999998,S,Yes
3,male,23.0,0,0,7.050000000000001,S,No
2,female,12.0,2,1,39.0,S,Yes
1,male,46.0,0,0,79.2,C,No
2,male,29.0,1,0,26.0,S,No
2,male,21.0,0,0,13.0,S,No
2,female,48.0,0,2,36.75,S,Yes
1,male,39.0,0,0,29.7,C,No
3,male,28.0,0,0,7.225000000000005,C,No
3,female,19.0,1,1,15.741700000000002,C,Yes
3,male,27.0,0,0,7.895800000000001,S,No
1,male,30.0,0,0,26.0,S,No
2,male,32.0,0,0,13.0,S,No
3,male,39.0,0,2,7.229199999999999,C,No
2,male,25.0,0,0,31.5,S,No
3,male,28.0,0,0,7.229199999999999,C,No
2,male,18.0,0,0,10.5,S,No
3,male,32.0,0,0,7.5792,S,No
3,male,28.0,1,9,69.55,S,No
1,female,58.0,0,1,512.3292,C,Yes
3,male,28.0,1,1,14.5,S,No
3,female,16.0,0,0,7.649999999999999,S,Yes
2,male,26.0,0,0,13.0,S,No
3,female,38.0,0,0,7.229199999999999,C,Yes
2,male,24.0,0,0,13.5,S,No
2,female,31.0,0,0,21.0,S,Yes
1,female,45.0,0,1,63.3583,C,Yes
2,male,25.0,0,0,10.5,S,No
2,male,18.0,0,0,73.5,S,No
2,male,49.0,1,2,65.0,S,No
3,female,0.1700000000000017,1,2,20.575,S,Yes
1,male,50.0,0,0,26.0,S,No
1,female,59.0,2,0,51.4792,S,Yes
3,male,28.0,0,0,7.879200000000001,S,No
3,male,28.0,0,0,7.75,Q,No
3,female,30.0,1,0,15.55,S,Yes
3,male,14.5,8,2,69.55,S,No
2,female,24.0,1,1,37.0042,C,Yes
2,female,31.0,0,0,21.0,S,Yes
3,male,27.0,0,0,8.662500000000001,S,Yes
1,female,25.0,1,0,55.4417,C,Yes
3,female,28.0,1,9,69.55,S,No
3,male,28.0,1,0,14.458300000000001,C,No
3,female,22.0,0,0,39.6875,S,No
1,female,45.0,0,1,59.39999999999999,C,Yes
2,male,29.0,0,0,13.8583,C,Yes
2,male,21.0,1,0,11.5,S,No
1,female,31.0,0,0,134.5,C,Yes
1,male,49.0,0,0,0.0,S,No
2,male,44.0,0,0,13.0,S,No
1,female,54.0,1,1,81.8583,S,Yes
1,female,45.0,0,0,262.375,C,Yes
3,female,22.0,2,0,8.662500000000001,S,No
2,male,21.0,0,0,11.5,S,No
1,male,55.0,0,0,50.0,S,No
3,male,5.0,4,2,31.3875,S,No
3,male,28.0,0,0,7.75,Q,No
3,male,26.0,0,0,7.879200000000001,Q,No
3,female,28.0,0,0,14.5,S,Yes
3,female,19.0,1,0,16.1,S,No
2,male,28.0,0,0,12.875,S,Yes
2,female,24.0,1,2,65.0,S,Yes
3,male,24.0,0,0,7.774999999999999,S,No
2,male,57.0,0,0,13.0,S,No
3,male,21.0,0,0,7.75,Q,No
3,male,6.0,3,1,21.075,S,No
1,male,23.0,0,0,93.5,S,No
1,female,51.0,0,1,39.4,S,Yes
3,male,13.0,0,2,20.25,S,No
2,male,47.0,0,0,10.5,S,No
3,male,29.0,3,1,22.025,S,No
1,female,18.0,1,0,60.0,S,Yes
3,male,24.0,0,0,7.25,Q,No
1,female,48.0,1,1,79.2,C,Yes
3,male,22.0,0,0,7.774999999999999,S,No
3,male,31.0,0,0,7.7333,Q,No
1,female,30.0,0,0,164.86669999999998,S,Yes
2,male,38.0,1,0,21.0,S,No
1,female,22.0,0,1,59.39999999999999,C,Yes
1,male,17.0,0,0,47.1,S,No
1,male,43.0,1,0,27.7208,C,No
2,male,20.0,0,0,13.8625,C,Yes
2,male,23.0,1,0,10.5,S,No
1,male,50.0,1,1,211.5,C,No
3,female,28.0,0,0,7.7208000000000006,Q,Yes
3,female,3.0,1,1,13.774999999999999,S,Yes
3,female,28.0,0,0,7.75,Q,Yes
1,female,37.0,1,0,90.0,Q,Yes
3,female,28.0,0,0,7.774999999999999,S,No
3,male,28.0,0,0,8.05,S,No
1,female,39.0,0,0,108.9,C,Yes
3,male,38.5,0,0,7.25,S,No
3,male,28.0,0,0,8.05,S,No
3,male,28.0,1,1,22.3583,C,No
